Active 	BUS2017-01949	DODSON TECHNICAL SERVICES INC 	4925 E HUNTER AVE, 92807 	VIBRATION AND EQUIPMENT TEST SERVICE  
Finaled 	BUS2017-03087	T N W ELECTRIC INC 	2615 PECK RD, 83592 	Electrical Contractor 
Active 	BUS2017-03088	L G ELECTRIC 	5430 PARTRIDGE LN, 45498 	ELECTRICAL CONTRACTOR 
Active 	BUS2017-03089	G & H ASSOCIATES LLC 	2440 HIGHLAND RD, 49466 	ENGINEERING CONSULTING 
Active 	BUS2017-03090	EMINENCE METROLOGY SOLUTIONS 	122 N KODIAK ST, 92807 	OFFICE USE FOR SOFTWARE DEVELOPMENT SERVICES (NO EMPLOYEES) 
Active 	BUS2017-03091	QUALITY COOLING 	19165 DOWELL LANE,  	Warm-Air Heating, Ventilating and Air Cond 
Active 	BUS2017-03092	DIVINE BUILDERS 	6251 CHIMINEAS AVE, 86099 	General Building Contractor 
Finaled 	BUS2017-03093	ROBERT STRINGFIELD 	4725 DEELANE ST, 35306 	ARCHITECT SERVICES 
Currently Renewing 	BUS2017-03094	SOUTHERN CA EXPRESS 	2107 W MIDWOOD LN, 92804 	OFFICE USE ONLY FOR COURIER TRUCKING SERVICES (2 EMPLOYEES)  
Active 	BUS2017-03095	BRIGHT LASER AND MANUFACTURING 	2985 E MIRALOMA AVE T, 92806 	DESIGNING AND MANUFACTURING PRODUCTS OUT OF METAL 
Active 	BUS2017-03096	VALENZUELA'S PLUMBING & ELECTRIC 	13842 DEODAR ST, 45574 	Electrical Contractor 
Received 	BUS2017-03097	ORANGE COUNTY GARAGE DOORS INC 	9342 PASEO CIR, 45418 	Doors, Gates and Activating Devices 
Active 	BUS2017-03098	BPG DESIGNS LLC 	701 PALOMAR AIRPORT RD, 94380 	ENGINEERING SERVICES (1 EMPLOYEE) 
Active 	BUS2017-03099	PREMIER COLLISION CENTER INC 	2880 E MIRALOMA AVE B, 92806 	AUTO COLLISION REPAIR SERVICES (ONE EMPLOYEE) 
Currently Renewing 	BUS2017-03100	PONCE GREENSCAPE INC 	2120 S GRAND AVE, 45574 	General Engineering Contractor 
Active 	BUS2017-03101	D C DESIGN AND CONSULTING INC 	1211 N AZUSA CANYON RD B, 89184 	ENGINEERING AND DESIGN SERVICES  
Active 	BUS2017-03102	MGM SALON AND SPA 	2622 W LINCOLN AVE 104, 92804 	BEAUTY SALON (NO EMPLOYEES) 
Active 	BUS2017-03103	LAKEVIEW CENTER 	1400-1450 N LAKEVIEW AVE, 92807 	NON RESIDENTIAL PROPERTY OPERATOR (SQ FT 14,400) 
Currently Renewing 	BUS2017-03104	GOLD COAST DENTAL STUDIO 	1834 W LINCOLN AVE J, 92804 	DENTAL LAB **2 EMPLOYEES** 
Active 	BUS2017-03105	GABRIELS POOL PLASTERING & CEMENT 	4410 DWIGHT AVE, 46893 	Swimming Pool Contractor 
Active 	BUS2017-03106	JOSE JAVIER LEON MONROY 	3920 E CORONADO ST B, 92807 	WAREHOUSING AND STORAGE OF BUMPERS 
Active 	BUS2017-03107	PDI COATINGS 	13230 S EVENING CREEK DR 205, 95710 	General Building Contractor 
Active 	BUS2017-03108	JAROM B PARTRIDGE, O.D. 	781 S WEIR CANYON RD 195, 92808 	OPTOMETRIC EYE CARE 
Active 	BUS2017-03109	POOLMAN APPAREL 	120 N AVENIDA MALAGA, 92808 	OFFICE USE ONLY FOR RETAIL SALES FOR POOLMAN APPAREL 
Active 	BUS2017-03110	TILEZZ 	400 S SUNKIST ST 108, 92806 	OFFICE USE ONLY FOR RETAIL ONLINE SALES OF MARBLE, TRAVERTINE 
Active 	BUS2017-03111	O C ARCHITECTURE AND DESIGN 	7163 E COLUMBUS DR, 92807 	OFFICE USE ONLY FOR ARCHITECTURAL DESIGN 
Active 	BUS2017-03112	CONSTRUCTION INDUSTRY SPECIALTIES O 	12155 MAGNOLIA AVE 4H, 46893 	General Building Contractor 
Active 	BUS2017-03113	AMERICAN OPAL SOCIETY INC 	676 S SCOUT TRL, 92807 	OFFICE USE ONLY FOR NON-PROFIT FOR OPAL ENTHUSIAST & EDUCATION  
Finaled 	BUS2017-03114	AMERICAN OPAL SOCIETY INC 	676 S SCOUT TRL, 92807 	NON-PROFIT SOLICITATION 2 DAY EVENT 11/4-11/5/2017 45 BOOTHS BUSINESS EXPO CENTER 
Active 	BUS2017-03115	EVG 	1509 N KRAEMER BLVD P, 92807 	STORAGE OF VENDING MACHINES (NO EMPLOYEES)  
Active 	BUS2017-03116	NO LIMIT BUILDERS INC 	1960 E FOOTHILL DR, 93385 	General Building Contractor 
Active 	BUS2017-03117	JORDAN KUBAT PHOTOGRAPHY 	1041 S SUNDANCE DR,  	OFFICE USE ONLY FOR COMMERCIAL PHOTOGRAPHY SERVICES (NO EMPLOYEES)  
Active 	BUS2017-03118	THE GLEN F AND BARBARA A CEILEY REV 	5037-5065 E HUNTER AVE, 92807 	NON-RESIDENTIAL BUILDING PROPERTY OPERATOR 
Active 	BUS2017-03119	GARRISON INDUSTRIES INC 	4091 E LA PALMA AVE T, 92807 	FLOORING, FLOOR COVERING AND CERAMIC AND MOSAIC TILE CONTRACTOR 
Finaled 	BUS2017-03120	A B C HOPES INC 	1748 KATELLA AVE 206, 45498 	NON-PROFIT SOLICITOR  
Finaled 	BUS2017-03121	A B C HOPES INC 	1748 KATELLA AVE 206, 45498 	FUNDRAISING EVENT AT 1551 S DOUGLAS ON 10-14-17 *1 VENDOR*  
Active 	BUS2017-03122	THE HAIR ROOM 	230 W LINCOLN AVE, 92805 	BEAUTY SALON (NO EMPLOYEES) 
Active 	BUS2017-03123	AFFORDABLE ELECTRIC 	13616 ARROW BLVD, 46810 	Electrical Contractor 
Active 	BUS2017-03124	SAPPHIRE MANUFACTURING INC 	2810 E CORONADO ST, 92801 	METAL LASER CUTTING AND METAL FABRICATION 
Active 	BUS2017-03125	INVITATION HOMES  	465 N HALSTEAD ST 150, 85772 	MANAGEMENT SERVICES (1 EMPLOYEE) 
Active 	BUS2017-03126	LION ROOFING INC 	11402 JACLENE LN, 45301 	Roofing Contractor 
Active 	BUS2017-03127	DANIEL GROUP CONSTRUCTION 	20 HALCYON LN, 48305 	General Building Contractor 
Active 	BUS2017-03128	PREMIER DUSTLESS BLASTING 	400 S FLOWER ST, 45498 	MOBILE MEDIA BLASTING 
Active 	BUS2017-03129	X S DISTRIBUTORS LLC 	1581 W PALAIS RD, 92802 	OFFICE USE FOR AUTO PARTS SALES 
Active 	BUS2017-03130	INVITATION HOMES  	465 N HALSTEAD ST 150, 85772 	MANAGEMENT SERVICES (1 EMPLOYEE) 
Active 	BUS2017-03131	INVITATION HOMES  	465 N HALSTEAD ST 150, 85772 	MANAGEMENT SERVICES (1 EMPLOYEE) 
Active 	BUS2017-03132	INVITATION HOMES  	465 N HALSTEAD ST 150, 85772 	MANAGEMENT SERVICES (1 EMPLOYEE) 
Active 	BUS2017-03133	MAXCLEAN SERVICES 	3013 FILLMORE WAY 113, 47540 	CLEANING SERVICES 
Active 	BUS2017-03134	INVITATION HOMES  	465 N HALSTEAD ST 150, 85772 	MANAGEMENT SERVICES (1 EMPLOYEE) 
Active 	BUS2017-03135	MARK ANDREW DEL CROGNALE 	360 E FIRST ST 441, 45418 	Landscaping Contractor 
Active 	BUS2017-03136	MAN STAFFING SERVICES 	3442 W ORANGE AVE, 92804 	ADMINISTRATIVE OFFICE FOR EMPLOYMENT STAFFING AGENCY (2 EMPLOYEES) 
Active 	BUS2017-03137	INVITATION HOMES  	465 N HALSTEAD ST 150, 85772 	MANAGEMENT SERVICES (1 EMPLOYEE) 
Active 	BUS2017-03138	INVITATION HOMES  	465 N HALSTEAD ST 150, 85772 	MANAGEMENT SERVICES (1 EMPLOYEE) 
Finaled 	BUS2017-03139	ANAHEIM MASSAGE SPA (LIAO, YUQIONG) 	1730 S EUCLID ST, 92802 	CERTIFIED MASSAGE THERAPIST - LIAO, YUQIONG (CMTC LIC # 46930 EXP: 6/28/2019  
Active 	BUS2017-03140	SAMS PHOTOVOLTAIC 	26600 SIMMONS WAY, 99272 	Solar Contractor 
Active 	BUS2017-03141	IMPERIAL STRUCTURAL CONCRETE INC 	4209 CALLE ABRIL, 49951 	Concrete Contractor 
Active 	BUS2017-03142	123UNLOCKINGS 	1241 N EAST ST 98, 92805 	OFFICE USE FOR ONLINE SALES OF CELL PHONE ACCESSORIES  
Active 	BUS2017-03143	VILLA POWDER COATING 	1313 N MILLER ST F, 92806 	POWDER COATING OF PARTS AND CAR PARTS (NO EMPLOYEES) (NO PAINTING OF VEHICLES IS ALLOWED) 
Active 	BUS2017-03144	SOCKERBIT 	321 W KATELLA AVE 133, 92802 	RETAIL SALES OF CONFECTIONARY AND HOME GOODS 
Active 	BUS2017-03145	BRENDA CORDERMAN LMFT 	1661 N RAYMOND AVE 214, 92801 	PSYCHOTHERAPY #LMFT39573 EXP: 07/31/2018 
Active 	BUS2017-03146	B N A DESIGN 	329 POPLAR ST, 43769 	INTERIOR DESIGN SERVICES 
Active 	BUS2017-03147	SO CAL FLOOR COVERINGS INC 	10049 MAIDSTONE AVE, 28631 	Flooring and Floor Covering 
Active 	BUS2017-03148	JOSEFINA COMPANY 	307 N TUSTIN AVE C, 92807 	OFFICE USE ONLY FOR JANITORIAL SERVICES 
Finaled 	BUS2017-03149	CIRCO HERMANOS CABALLERO 	7820 LA CIENEGA ST, 23845 	CIRCUS @1440 S ANAHEIM BLVD (SEP2017-00122) 10 DAYS, 1 CONCESSION BOOTH- OCT 13-23, 2017 
Active 	BUS2017-03150	ALMASS INC 	701 E BALL RD 206, 45631 	General Building Contractor 
Active 	BUS2017-03151	R G DRYWALL INC 	13518 OAKS AVE, 46285 	Drywall Contractor 
Active 	BUS2017-03152	B M E BUILDERS 	3782 CERRITOS AVE, 35981 	General Building Contractor 
Active 	BUS2017-03153	PAULO FRANCISCO PRADO 	625 S PALM ST A, 47380 	Low Voltage Systems 
Currently Renewing 	BUS2017-03154	V R D E STUDIO 	2400 E KATELLA AVE 800, 92806 	DESIGN SERVICES AND CONSULTATION, BROKERAGE, SALE OF CUSTOM PRODUCTS 
Active 	BUS2017-03155	MARK KERALY MEDIA 	8071 E SNOWBERRY LN,  	OFFICE USE ONLY FOR PHOTOGRAPHY AND VIDEOGRAPHY SERVICES (NO EMPLOYEES, OFF-SITE SERVICES ONLY) 
Active 	BUS2017-03156	WEBERS PLUMBING 	33445 FOWLER DR, 99265 	Plumbing Contractor 
Active 	BUS2017-03157	G R AUTO TRADING 	4384-4386 E LA PALMA AVE, 92807 	WAREHOUSING / WHOLESALE AND STORAGE OF APPAREL 
Finaled 	BUS2017-03158	CREATIVE MARKETING AND OFFICE SOLUT 	1930 W LULLABY LN, 92804 	OFFICE USE ONLY FOR ONLINE MARKETING AND OFFICE CONSLUTING (NO EMPLOYEES)  
Active 	BUS2017-03159	LONG BEACH ACOUSTICS 	7436 SCOUT AVE, 29282 	Insulation and Acoustical Contractor 
Active 	BUS2017-03160	GROUND PENETRATING RADAR SYSTEMS IN 	7540 NEW WEST RD, 64763 	DETECTION OF UNDERGROUND UTILITIES AND THE SCANNING OF CONCRETE STRUCTURES (1 EMPLOYEE) 
Currently Renewing 	BUS2017-03161	MAGICLAND MARKET 	220 E KATELLA AVE, 92802 	RETAIL LIQUOR STORE 
Active 	BUS2017-03162	TETRAS CONSTRUCTION CORPORATION 	4420 E MIRALOMA AVE B, 92807 	GENERAL BUILDING CONTRACTOR 
Active 	BUS2017-03163	ESKAE INDUSTRIES 	1639 W CHANTICLEER RD, 92802 	OFFICE USE FOR ONLINE SALES OF MERCHANDISE 
Active 	BUS2017-03164	KB DEPOT INC  	305 N BROOKHURST ST, 92801 	RETAIL SALES OF TILE AND STONE (NO WHOLESALING PERMITTED) 
Finaled 	BUS2017-03165	GEOMAX ENGINEERING INC 	7340 FLORENCE AVE 229, 37730 	GEOTECHNICAL ENGINEERING CONSULTANTS 
Currently Renewing 	BUS2017-03166	PIIVRO SKIN AND HEALTH ACUPUNCTURE  	408 S BEACH BLVD 108, 92804 	ACUPUNCTURE SERVICES ********NO MASSAGE PERMITTED************ (ONE EMPLOYEE/ INCLUDEDS EMPLOYEES FROM BUS2017-03167)  
Currently Renewing 	BUS2017-03167	PIIVRO SKIN AND HEALTH ACUPUNCTURE  	408 S BEACH BLVD 108, 92804 	ESTHETICIAN SERVICES (EMPLOYEES REPORTED ON BUS2017-03166)  
Currently Renewing 	BUS2017-03168	OC LAWN WIZARDS LLC 	14912 ESCALONA RD, 45217 	LAWN MAINTENANCE SERVICE (NO EMPLOYEES) (ANAHEIM MAILING ADDRESS) 
Currently Renewing 	BUS2017-03169	ANAHEIM LOUNGE 	819 S EUCLID ST, 92804 	BAR (RENEW WITH BUS2017-03171) 
Active 	BUS2017-03170	SKY LIMIT PRINTING 	2911 E MIRALOMA AVE 7, 92806 	SCREEN PRINTING *NO EMPLOYEES* 
Currently Renewing 	BUS2017-03171	ANAHEIM LOUNGE 	819 S EUCLID ST, 92804 	2 AMUSEMENT DEVICES, 2 POOL TABLES, 1 JUKE BOX (RENEW WITH BUS2017-03169) 
Active 	BUS2017-03172	SILVER STATE ANALYTICAL LABORATORIE 	1440 S STATE COLLEGE BLVD 4J, 92806 	DISTRIBUTION CENTER FOR AN ENVIRONMENTAL TESTING LABORATORY 
Active 	BUS2017-03173	CADUCEUS PHYSICIANS MEDICAL GROUP 	1110 W LA PALMA AVE 4, 92801 	PHYSICAN OFFICE SERVICES (5 EMPLOYEES) 
Active 	BUS2017-03174	E T E C HOLDING INC 	701 E BALL RD 104,105, 92805 	WHOLESALE AND DISTRIBUTION OF PROFESSIONAL GRADE AUDIO-VISUAL EQUIPMENT 
Active 	BUS2017-03175	NV5 INC 	15092 AVENUE OF SCIENCE 200, 95710 	ENGINEERING SERVICES (4 EMPLOYEES) 
Active 	BUS2017-03176	A1 HVAC PROS 	1744 W JUNO AVE F, 92804 	OFFICE USE ONLY FOR HANDYMAN SERVICES  
Active 	BUS2017-03177	PRO AUTO RECON 	27318 NOTTINGHAM ST, 99272 	AUTO DENT AND LEATHER REPAIR SERVICES (NO EMPLOYEES)  
Active 	BUS2017-03178	PROTECH SEAL CONSTRUCTION INC 	1932 S JANETTE LN, 92802 	OFFICE USE ONLY FOR GENERAL CONTRACTOR SERVICES 
Active 	BUS2017-03179	DAVID L BAILEY ARCHITECT INC 	23183 LA CADENA DR 101, 48370 	ARCHITECTURE 
Active 	BUS2017-03180	HERNANDEZ LANDSCAPING 	170 S WESTCHESTER DR 4, 92804 	OFFICE USE ONLY FOR OFF-SITE GARDEN MAINTENANCE AND LANDSCAPING SERVICES (NO EMPLOYEES) 
Active 	BUS2017-03181	SGW ELECTRIC 	811 S SANTA RITA AVE, 28928 	Electrical Contractor 
Active 	BUS2017-03182	JM & J CONTRACTORS 	17110 S SANTA CATHERINE ST, 47541 	General Building Contractor 
Active 	BUS2017-03183	CUSTOM CLOSETS 	1669 PLACENITA AVE, 47540 	General Building Contractor 
Active 	BUS2017-03184	MAURICIO ZAPATERO 	19380 ENVOY AVE, 97346 	JANITORIAL SERVICES (NO EMPLOYEES) 
Active 	BUS2017-03185	U 2 CONSTRUCTION INC 	1216 S STREET ANDREWS PL, 33844 	General Building Contractor 
Active 	BUS2017-03186	WISE OWL TUTORING 	918 S LONE PINE LN, 92808 	OFFICE USE ONLY FOR OFF-SITE AND ONLINE TUTORING SERVICES (NO EMPLOYEES) 
Finaled 	BUS2017-03187	SOUTHERN CALIFORNIA PRE OWNED 	520 N BROOKHURST ST 210, 92801 	RETAIL PRE OWNED AUTO DEALER (NO MORE THAN 2 DISPLAYED VEHICLES ALLOWED ON-SITE) 
Finaled 	BUS2017-03188	LAZARO AUTO MART 	970 N TUSTIN AVE 207, 92807 	USED CAR SALES 
Active 	BUS2017-03189	DRAFTING SERVICES 	13081 SIEMON AVE, 45301 	DRAFTING AND DESIGN SERVICES 
Active 	BUS2017-03190	ANDRADE ARCHITECTS INC 	2880 S COAST HWY, 43769 	ARCHITECTURAL SERVICES  
Active 	BUS2017-03191	TSUO SHENG YEH 	10365 WESTCHESTER AVE, 95710 	General Building Contractor 
Active 	BUS2017-03192	AT&T DATACOMM 	3939 E CORONADO ST,  	Administrative office use for General Building Contractor 
Finaled 	BUS2017-03193	BENJAMIN CORTES 	452 SONOMA ST, 46274 	DRAFTING SERVICE 
Finaled 	BUS2017-03194	DONALD LINGEMAN 	615 EDGEVIEW DR, 83558 	ENGINEER 
Active 	BUS2017-03195	RED BEAR LOW VOLTAGE 	8110 E VENICE WAY,  	OFFICE USE ONLY FOR LOW VOLTAGE SYSTEMS CONTRACTOR 
Active 	BUS2017-03196	WHITE BUBBBLES 	2813 E DUTCH AVE, 92806 	OFFICE USE ONLY FOR OFF-SITE RESIDENTIAL & COMMERCIAL CLEANING 
Active 	BUS2017-03197	TREJOS PRODUCE 	1441 W CENTRAL PARK AVE N, 92802 	ICE CREAM TRUCK OPERATOR (1 VEHICLE) 
Active 	BUS2017-03198	MOST WANTED BARBERS 	3474 E ORANGETHORPE AVE A, 92806 	BARBERSHOP **ALL EMPLOYEES ARE INDEPENDENT**  
Active 	BUS2017-03199	QUALITY MEDICAL MANAGEMENT 	3855 E LA PALMA AVE 239, 92807 	MEDICAL BILLING & COLLECTION SERVICES (NO EMPLOYEES) 
Active 	BUS2017-03200	DELTA PLUMBIN HEATING AND AIR CONDI 	1815 N CYMBAL WAY, 92807 	OFFICE USE ONLY FOR PLUMBING & AIR CONDITIONING CONTRACTOR 
Finaled 	BUS2017-03206	J T PRODUCTION & ENTERTAINMENT 	233 S GRAND AVE, 92804 	EVENT PLANNING, CATERS, BAR SERVICES & ENTERTAINMENT PROMOTER (OFFICE USE, NO EMPLOYEES) 
Active 	BUS2017-03207	JON D SMITH BUILDERS 	14811 JACKSON ST, 48970 	GENERAL CONTRACTOR 
Active 	BUS2017-03208	LIFEWALKER COACH 	8350 E SHINING STAR CT, 92808 	OFFICE USE FOR LIFE COACHING SERVICES  
Active 	BUS2017-03209	THE NASSAL COMPANY 	415 W KALEY ST, 57550 	General Building Contractor 
Active 	BUS2017-03210	JUAN M SALDANA  	1008 E SOUTH ST, 92805 	OFFICE USE FOR BATHROOM AND KITCHEN REMODEL SERVICES (NO EMPLOYEES)  
Active 	BUS2017-03211	WEST COAST SHOW SUPPORT LLC 	125 N BELINDA CIR 85, 92801 	OFFICE USE ONLY FOR OFF-SITE LIGHTING SERVICE 
Active 	BUS2017-03212	GLADYS BOUTIQUE 	1440 S ANAHEIM BLVD G35, 92805 	RETAIL CLOTHING SALES 
Active 	BUS2017-03213	PROWALLS GROUP INC 	1001 GLENCLIFF, 47380 	General Building Contractor 
 	BUS2017-03214	S P S GAME CONSOLE DISTRIBUTOR INC 	1255 S NUTWOOD ST 3, 92804 	OFFICE USE ONLY FOR IMPORT/EXPORT OF IPHONES AND GAMING SYSTEMS  
Active 	BUS2017-03215	INCLEDON CONSULTING GROUP 	1570 CORPORATE DR A, 47540 	ENGINEERING SERVICES  
Active 	BUS2017-03216	C B INTERIORS 	1255 S WELLS RD C, 56477 	General Building Contractor 
Active 	BUS2017-03217	GAON INC 	1919 W CORONET AVE 184, 92804 	OFFICE USE ONLY FOR SALES OF IMPORTED FOODS AND GOOD  
Active 	BUS2017-03218	ISAI CEDILLOS 	13440 DEMPSTER AVE, 37730 	General Building Contractor 
Active 	BUS2017-03219	FIT4MOM ANAHEIM HILLS ORANGE 	307 15TH ST 3, 45363 	OUTDOOR STROLLER-BASED WORKOUTS INSTRUCTOR 
Active 	BUS2017-03220	ANAHEIM LOCK AND SAFE CO 	428 N STATE COLLEGE BLVD, 92801 	LOCK AND SAFE, ACCESS CONTROL 
Active 	BUS2017-03221	RAPID PLUMBING 	10936 S LA CIENEGA BLVD, 37501 	Warm-Air Heating, Ventilating and Air Cond 
Active 	BUS2017-03222	WEST HILL P & C INC 	12105 PARAMOUNT BLVD, 37730 	General Building Contractor 
Active 	BUS2017-03223	CORNERSTONE CONSTRUCTION COMPANY 	866 HALYARD, 47234 	General Building Contractor 
Active 	BUS2017-03224	BELLA CONSTRUCTION & ENGINEERING 	800 S PACIFIC COAST HWY 8, 03701 	General Engineering Contractor 
Active 	BUS2017-03225	BCL SOLAR ELECTRIC EXPRESS LLC 	36068 HIDDEN SPRINGS RD C-190, 46775 	Electrical Contractor 
Active 	BUS2017-03226	BRIGHT LIFE REMODELING 	933 NEWHALL ST, 47540 	General Building Contractor 
Active 	BUS2017-03227	CORE DEVELOPMENT 	3350 E BIRCH ST 250, 49901 	CONSULTING SERVICES 
Active 	BUS2017-03228	SUPER CUTE INC 	1440 S ANAHEIM BLVD I33, 92805 	RETAIL SALES OF CLOTHING FOR CHILDREN  
Active 	BUS2017-03229	MORRISON POOLS 	1781 S CAMPTON AVE 422, 92805 	OFFICE USE ONLY FOR POOL CLEANING SERVICES ***CANCEL*** 
Active 	BUS2017-03230	GD INNOVATION INC 	780 N EUCLID ST 204, 92801 	OFFICE USE FOR ENGINEERING CONSULTANCY *NOT A STATE LICENSED ENGINEER* 
Active 	BUS2017-03231	CALIVINO WINE PUB 	2410 E KATELLA AVE, 92806 	RESTAURANT & BAR 
Active 	BUS2017-03232	ANAHEIM CORNER LLC 	1155 N EUCLID ST, 92801 	NON-RESIDENTIAL BUILDING OPERATOR (2,400 SQ FT) 
Active 	BUS2017-03233	OLSON - CANATSEY TRUCKING 	12091 WUTZKE ST, 45301 	TRUCKING SERVICES 
Active 	BUS2017-03234	A & M TREE SPECIALIST 	2890, 2898 E MIRALOMA AVE, 45631 	Tree Service  
Finaled 	BUS2017-03235	COMMON THREAD COLLECTIVE 	3011 S CRODDY WAY, 45574 	FILM PRODUCTION @ PALM LANE SKATE PARK 09/22/2017 *6 EMPLOYEES* 
Active 	BUS2017-03236	F V ELECTRICAL SERVICES 	780 N EUCLID ST 207, 92801 	Administratice Office for Electrical Contractor 
Active 	BUS2017-03237	AMERIMAX BUILDING PRODUCTS 	1773 W LINCOLN AVE U, 92801 	STORAGE *2 EMPLOYEES* 
Active 	BUS2017-03238	HE GREEN TRADING USA 	680 S CASITA ST, 92805 	OFFICE USE ONLY FOR ADMINSTRATIVE SERVICE OF BUSINESS  
Active 	BUS2017-03239	O C CUSTOM COATING 	3164 E LA PALMA AVE L, 92806 	GUNSMITHING SERVICES INCLUDING; REPAIR, REPLACEMENT PARTS, RESTORATION & REFINISHING 
Active 	BUS2017-03240	LIVINGSTON UNLIMITED INC 	3315 E MIRALOMA AVE 110, 92806 	PACKAGING & WAREHOUSE SUPPLY DISTRIBUTORS 
Active 	BUS2017-03241	PATRIOT PIPELINE INC 	36180 JANA LN, 46775 	General Engineering Contractor 
Active 	BUS2017-03242	HARMONY QUARTZ INC  	900 E VERMONT AVE, 92805 	WHOLESALING AND STORAGE OF QUARTZ COUNTER TOPS 
Active 	BUS2017-03243	S P CONSULTING GROUP 	455 PUESTA DEL SOL, 53439 	ENGINEERING SERVICES 
Active 	BUS2017-03244	R AND R AMERICAN SURPLUS 	2748 E MIRALOMA AVE, 92806 	WAREHOUSING AND STORAGE OF AUTO PARTS (NO EMPLOYEES) (ALL STORAGE MUST BE SCREENED FROM PUBLIC VIEW) 
Active 	BUS2017-03245	SERVPRO OF ANAHEIM HILLS 	1465 N BRASHER ST, 47792 	OFFICE USE & WAREHOUSING FOR GENERAL CONTRACTOR  
Active 	BUS2017-03246	ELITE RESTORATION 	701 CHESAM AVE, 47380 	General Building Contractor 
Finaled 	BUS2017-03247	SKY VIEW DESIGNS 	20561 SUBURBIA LN, 45363 	DESIGNER SERVICES  
Active 	BUS2017-03248	LAND DEVELOPMENT DESIGN COMPANY LLC 	2313 PHILADELPHIA ST F, 46274 	ENGINEERING SERVICES (4 EMPLOYEES)  
Active 	BUS2017-03249	SOCAL ELECTRIC 	125 W ASH AVE, 45788 	Electrical Contractor 
Active 	BUS2017-03250	XOCHITL VILLELA 	905 N SABINA ST, 92805 	OFFICE USE ONLY FOR OFF-SITE CLEANING SERVICES (NO EMPLOYEES)  
Active 	BUS2017-03251	IANS HAIR SALON 	1219 1/2 S ANAHEIM BLVD, 92805 	BEAUTY HAIR SALON (3 EMPLYEES) 
Finaled 	BUS2017-03252	CANVAS MOTION PICTURES INC 	2581 ARVIA ST 5, 33844 	FILMING INTERVIEWS FOR REEL@ 440 EUCLID ST (SHOOTING DATE 9/30/2017, 10 EMPLOYEES) 
Active 	BUS2017-03253	BOTI STUDIOS LLC  	607 S HARBOR BLVD, 92805 	ART & MEDITATION STUDIO (NO EMPLOYEES)  
Active 	BUS2017-03254	ASSET INTERPRETING SERVICES 	3030 8TH B,  	OFFICE USE ONLY FOR INTERPRETING SERVICES (NO EMPLOYEES) 
Active 	BUS2017-03255	TAYLORS BASEBALL CARD/COLLCTBL 	2869 E VIRGINIA AVE, 92806 	OFFICE USE FOR ON-LINE EBAY SALES  
Active 	BUS2017-03256	ARNE VALENTI DESIGN 	1039 VERONA DR, 45788 	DESIGN SERVICES  
Active 	BUS2017-03257	M-SERIES DRIVELINE 	1570 N LAKEVIEW LP, 92807 	WAREHOUSE / DISTRIBUTION FOR AUTOMOTIVE PARTS  
Active 	BUS2017-03258	GROUND UP DEVELOPMENT 	10891 BUSINESS DR, 46810 	General Building Contractor 
Active 	BUS2017-03259	A C T ROOFING 	18024 E GHENT ST, 88156 	Roofing Contractor 
Active 	BUS2017-03260	THE GLEN BAR AND BILLIARDS 	2822 W BALL RD, 92804 	COCKTAIL BAR (BUS2017-03261) 
Active 	BUS2017-03261	THE GLEN BAR AND BILLIARDS 	2822 W BALL RD, 92804 	AMUSEMENT ROOM - 2 POOL TABLES (REF:BUS2017-03260) 
Active 	BUS2017-03262	SU FARMACIA NATURAL MEX VITAMINAS H 	1231 S EUCLID ST, 92804 	RETAIL SALES OF NATURAL PRODUCTS AND VITAMINS (MEDICAL MARIJUANA PROHIBITED)  
Active 	BUS2017-03263	SMOKIE DOKIE SMOKE SHOP 	689 N EUCLID ST, 92801 	SMOKE SHOP AND TOBACCO *****NOT A SMOKING LOUNGE***** (MARIJUANA PROHIBITED) 
Active 	BUS2017-03264	K W C ENGINEERS 	1880 COMPTON AVE 100, 97346 	ENGINEERING SERVICES (3 EMPLOYEES) 
Active 	BUS2017-03265	SOLID STRUCTURES PROFESSIONAL ENGIN 	4125 MARKET ST, 00000 	STRUCTURAL ENGINEERING SERVICES 
Active 	BUS2017-03266	WHOLESALE FLOORING OF ORANGE COUNTY 	2941 E MIRALOMA AVE 8,9, 92806 	WHOLESALE / RETAIL SALES OF FLOORING PRODUCTS  
Active 	BUS2017-03267	THE DEBRIEF 	3156 E LA PALMA AVE C, 92806 	ANAHEIM POLICE NON PROFIT FUNDRAISING ORGANIZATION ************NOT A CITY BUSINESS************** 
Finaled 	BUS2017-03268	E M HIGH TECH 	950 E ORANGETHORPE AVE P, 92801 	REPAIR OF USED EMBROIDERY MACHINES, PARTS AND SUPPLIES (ONSITE RETAIL NOT ALLOWED) 
Active 	BUS2017-03269	PREMIER CONTRACTORS INC 	1200 QUAIL ST 160, 47234 	Drywall Contractor 
Active 	BUS2017-03270	JENI AND JADE 	6021 E LA PAZ WAY, 92807 	OFFICE USE FOR ONLINE RETAIL SALES OF CLOTHING 
Active 	BUS2017-03271	TRADESMEN INTERNATIONAL LLC 	16880 VALLEY VIEW AVE, 45217 	PROVIDE SKILLED LABOR EMPLOYEES FOR LIMITED TIME 
Active 	BUS2017-03272	ODEGAARD FAMILY COUNSELING INC 	2400 E KATELLA AVE 900, 92806 	PRIVATE PRACTICE PSYCHOTHERAPY MFC #47135 EXP. 11-30-18  
